CODE,AF - Annexes
AD16,"United Nations Office of Drugs and Crime (UNODC) - ""IFS/2018/040-966 - Latin America and Caribbean, West Africa, South Africa, North Africa and Middle East, Central Africa, Eastern Africa, Southern Africa"", ""World Customs Organization (WCO) - """"IFS/2018/040-966 - Latin America and Caribbean, West Africa, South Africa, North Africa and Middle East, Central Africa, Eastern Africa, Southern Africa"""""""
AD17,"European Civil Aviation Conference (ECAC) - ""2018/ 040-966 - North Africa and Middle East, Central Asia, South Asia, East Asia and Pacific, West Africa, South Africa, Central Africa, Eastern Africa, Southern Africa"", ""European Union Agency for Law Enforcement Cooperation) - """"2018/ 040-966 - North Africa and Middle East, Central Asia, South Asia, East Asia and Pacific, West Africa, South Africa, Central Africa, Eastern Africa, Southern Africa"""""", ""United Nations Office of Counter-Terrorism (UNOCT) - """"2018/ 040-966 - North Africa and Middle East, Central Asia, South Asia, East Asia and Pacific, West Africa, South Africa, Central Africa, Eastern Africa, Southern Africa"""""""
AD18,"Aga Khan Foundation - ""ACA/2018/41509 - Pakistan, Tajikistan, Afghanistan, Kyrgyzstan"""
AD19,"Financial Institution - ""2018/041-116 - Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan"""
AD20,"World Bank - ""040-957 - Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan"", ""United Nations International Strategy for Disaster Reduction (UNDRR) - """"040-957 - Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan"""""""
AD21,"Council of Europe - ""ACA/2018/040-951 - Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan"""
AD22,"""European Union-Central Asia Enhanced Regional Cooperation on Environment, Climate Change and Water (WECOOP)"" - ""ACA 2018/040-953 - Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan, Afghanistan"", ""United Nations Economic Commission for Europe (UNECE) - """"ACA 2018/040-953 - Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan, Afghanistan"""""", ""World Bank - """"ACA 2018/040-953 - Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan, Afghanistan"""""""
AD23,"European Union Delegation  - ""ACA/2018/040-946 - Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan, Afghanistan, Mongolia"", ""European Union Delegation  - """"ACA/2018/040-946 - Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan, Afghanistan, Mongolia"""""", ""Organisation for Economic Co-operation and Development (OECD) - """"ACA/2018/040-946 - Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan, Afghanistan, Mongolia"""""", ""International Trade Center (ITC) - """"ACA/2018/040-946 - Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan, Afghanistan, Mongolia"""""", ""European Union Delegation  - """"ACA/2018/040-946 - Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan, Afghanistan, Mongolia"""""", ""European Union Delegation  - """"ACA/2018/040-946 - Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan, Afghanistan, Mongolia"""""""
AD24,"United Nations Development Programme (UNDP) - ACA/2018/041-534 - Uzbekistan, European Union Delegation  - ACA/2018/041-534 - Uzbekistan, European Union Delegation  - ACA/2018/041-534 - Uzbekistan"
AD25,"World Bank - ACA/2018/40636 - Uzbekistan, European Union Delegation  - ACA/2018/40636 - Uzbekistan, European Union Delegation  - ACA/2018/40636 - Uzbekistan"
AD26,"European Union Delegation  - ENV/2018/41-520 - Senegal, Direction de l’Environnement et des Etablissements Classée (DEEC) - ENV/2018/41-520 - Senegal, European Union Delegation  - ENV/2018/41-520 - Senegal, European Union Delegation  - ENV/2018/41-520 - Senegal, European Union Delegation  - ENV/2018/41-520 - Senegal"
AD27,"Government of Djibouti - 2018/041-498 - Djibouti, Agence Francaise de Developpement (AFD) - 2018/041-498 - Djibouti, European Union Delegation  - 2018/041-498 - Djibouti, European Union Delegation  - 2018/041-498 - Djibouti, European Union Delegation  - 2018/041-498 - Djibouti"
AD28,"Gesellschaft für Internationale Zusammenarbeit (GIZ) - ENV-2017/040-931 - Dominican Republic, European Union Delegation  - ENV-2017/040-931 - Dominican Republic, European Union Delegation  - ENV-2017/040-931 - Dominican Republic"
AD29,"Asian Development Bank (ADB) - ENV/2018/040-909 - Maldives, European Union Delegation  - ENV/2018/040-909 - Maldives"
AD30,"European Union Delegation  - ENV/2018/041-491 - Myanmar, ""United Nations Human Settlements Programme (UN-Habitat), United Nations Environment Programme (UNEP) - ENV/2018/041-491 - Myanmar"", European Union Delegation  - ENV/2018/041-491 - Myanmar, European Union Delegation  - ENV/2018/041-491 - Myanmar"
AD31,European Union Delegation  - ENV/2018/041492 - Nigeria
AD32,"European Union Delegation  - ENV/2018/041-552 - Trinidad and Tobago, United Nations Development Programme (UNDP) - ENV/2018/041-552 - Trinidad and Tobago, European Union Delegation  - ENV/2018/041-552 - Trinidad and Tobago"
AD33,United Nations Development Programme (UNDP) - DCI-ENV/2018-041-572 - Cuba
AD34,Gesellschaft für Internationale Zusammenarbeit (GIZ) - ENV/2018/41519 - Cote d Ivoire
AD35,"United Nations Development Programme (UNDP) - ENV-2018/040-936 - Cambodia, European Union Delegation  - ENV-2018/040-936 - Cambodia, European Union Delegation  - ENV-2018/040-936 - Cambodia"
AD36,"European Aviation Safety Agency (EASA) - ""ENV/2018/041-086 - West Africa, South Africa, North Africa and Middle East, Central Africa, Eastern Africa, Southern Africa, Latin America and Caribbean"", ""European Union Delegation  - """"ENV/2018/041-086 - West Africa, South Africa, North Africa and Middle East, Central Africa, Eastern Africa, Southern Africa, Latin America and Caribbean"""""", "" - """"ENV/2018/041-086 - West Africa, South Africa, North Africa and Middle East, Central Africa, Eastern Africa, Southern Africa, Latin America and Caribbean"""""", ""European Union Delegation  - """"ENV/2018/041-086 - West Africa, South Africa, North Africa and Middle East, Central Africa, Eastern Africa, Southern Africa, Latin America and Caribbean"""""""
AD37,"European Union Delegation  - 2018/040-874 - Cambodia,  Swedish International Development Agency (SIDA) - 2018/040-874 - Cambodia, World Bank - 2018/040-874 - Cambodia, European Union Delegation  - 2018/040-874 - Cambodia, European Union Delegation  - 2018/040-874 - Cambodia"
AD38,"European Union Delegation  - ""ACA/2018/041-466, ACA/2019/041-594 - Cambodia"", ""Food and Agriculture Organisation (FAO) - """"ACA/2018/041-466, ACA/2019/041-594 - Cambodia"""""", ""United Nations Industrial Development Organization (UNIDO) - """"ACA/2018/041-466, ACA/2019/041-594 - Cambodia"""""", ""European Union Delegation  - """"ACA/2018/041-466, ACA/2019/041-594 - Cambodia"""""", ""European Union Delegation  - """"ACA/2018/041-466, ACA/2019/041-594 - Cambodia"""""", ""European Union Delegation  - """"ACA/2018/041-466, ACA/2019/041-594 - Cambodia"""""""
AD39,"European Union Delegation  - ACA/2018/40819 - Nepal, International Trade Center (ITC) - ACA/2018/40819 - Nepal, European Union Delegation  - ACA/2018/40819 - Nepal, European Union Delegation  - ACA/2018/40819 - Nepal, European Union Delegation  - ACA/2018/40819 - Nepal"
AD40,European Union Delegation  - ACA/2018/040-857 - Myanmar
AD41,"European Union Delegation  - ""ACA/2018/041-490, ACA/2019/041-584 - East Asia and Pacific, Central Asia, South Asia"", ""Organisation for Economic Co-operation and Development (OECD) - """"ACA/2018/041-490, ACA/2019/041-584 - East Asia and Pacific, Central Asia, South Asia"""""", ""World Bank, PEMPAL, PEMNA - """"ACA/2018/041-490, ACA/2019/041-584 - East Asia and Pacific, Central Asia, South Asia"""""", ""United Nations Children's Fund (UNICEF) - """"ACA/2018/041-490, ACA/2019/041-584 - East Asia and Pacific, Central Asia, South Asia"""""""
AD42,"European Union Delegation  - ""ACA/ 2018/041-536, ACA/2019/41589 - East Asia and Pacific, South Asia, Central Asia"", ""European Union Delegation  - """"ACA/ 2018/041-536, ACA/2019/41589 - East Asia and Pacific, South Asia, Central Asia"""""", ""European Union Delegation  - """"ACA/ 2018/041-536, ACA/2019/41589 - East Asia and Pacific, South Asia, Central Asia"""""""
AD43," - ""ACA/2019/041-115 - East Asia and Pacific, South Asia, Central Asia, Iraq"""
AD44,"Food and Agriculture Organisation (FAO) - FED/2018/039-995 - Papua New Guinea, European Union Delegation  - FED/2018/039-995 - Papua New Guinea, European Union Delegation  - FED/2018/039-995 - Papua New Guinea, European Union Delegation  - FED/2018/039-995 - Papua New Guinea"
AD45,"European Union Delegation  - ACA/2018/040-879 - Myanmar, United Nations Office for Project Services (UNOPS) - ACA/2018/040-879 - Myanmar, United Nations Population Fund (UNFPA) - ACA/2018/040-879 - Myanmar"
AD46,European Union Delegation  - DCI-ENV/2018/041-506 - Worldwide
AD47,"United Nations Environment Programme (UNEP) - C(2018) 8736 - Worldwide, Food and Agriculture Organisation (FAO) - C(2018) 8736 - Worldwide, Organisation for Economic Co-operation and Development (OECD) - C(2018) 8736 - Worldwide, Organisation for Economic Co-operation and Development (OECD) - C(2018) 8736 - Worldwide,  International Tropical Timber Organisation (ITTO) - C(2018) 8736 - Worldwide"
AD48,"United Nations Capital Development Fund (UNCDF) - ""ENV/2018/041-085 - Lesotho, Tanzania, Tuvalu, Uganda, Bangladesh, Benin, Cambodia, Ghana, Laos, Mali, Mozambique, Nepal, Niger, Bhutan"", ""United Nations Capital Development Fund (UNCDF) - """"ENV/2018/041-085 - Lesotho, Tanzania, Tuvalu, Uganda, Bangladesh, Benin, Cambodia, Ghana, Laos, Mali, Mozambique, Nepal, Niger, Bhutan"""""", ""United Nations Capital Development Fund (UNCDF) - """"ENV/2018/041-085 - Lesotho, Tanzania, Tuvalu, Uganda, Bangladesh, Benin, Cambodia, Ghana, Laos, Mali, Mozambique, Nepal, Niger, Bhutan"""""", ""United Nations Capital Development Fund (UNCDF) - """"ENV/2018/041-085 - Lesotho, Tanzania, Tuvalu, Uganda, Bangladesh, Benin, Cambodia, Ghana, Laos, Mali, Mozambique, Nepal, Niger, Bhutan"""""", ""United Nations Capital Development Fund (UNCDF) - """"ENV/2018/041-085 - Lesotho, Tanzania, Tuvalu, Uganda, Bangladesh, Benin, Cambodia, Ghana, Laos, Mali, Mozambique, Nepal, Niger, Bhutan"""""", ""United Nations Capital Development Fund (UNCDF) - """"ENV/2018/041-085 - Lesotho, Tanzania, Tuvalu, Uganda, Bangladesh, Benin, Cambodia, Ghana, Laos, Mali, Mozambique, Nepal, Niger, Bhutan"""""", ""United Nations Capital Development Fund (UNCDF) - """"ENV/2018/041-085 - Lesotho, Tanzania, Tuvalu, Uganda, Bangladesh, Benin, Cambodia, Ghana, Laos, Mali, Mozambique, Nepal, Niger, Bhutan"""""""
AD49,"European Union Delegation  - ""ENV/2018/041-508 - Ethiopia, Burkina Faso, Niger, Benin, Indonesia, Philippines, Worldwide"", ""European Union Delegation  - """"ENV/2018/041-508 - Ethiopia, Burkina Faso, Niger, Benin, Indonesia, Philippines, Worldwide"""""", "" International Union for the Conservation of Nature (IUCN) - """"ENV/2018/041-508 - Ethiopia, Burkina Faso, Niger, Benin, Indonesia, Philippines, Worldwide"""""", ""Joint Research Centre (JRC) - """"ENV/2018/041-508 - Ethiopia, Burkina Faso, Niger, Benin, Indonesia, Philippines, Worldwide"""""", ""Joint Research Centre (JRC) - """"ENV/2018/041-508 - Ethiopia, Burkina Faso, Niger, Benin, Indonesia, Philippines, Worldwide"""""", "" United Nations Economic Commission for Europe (UNECE) - """"ENV/2018/041-508 - Ethiopia, Burkina Faso, Niger, Benin, Indonesia, Philippines, Worldwide"""""", ""Agence Française de Développement (AFD) - """"ENV/2018/041-508 - Ethiopia, Burkina Faso, Niger, Benin, Indonesia, Philippines, Worldwide"""""", ""Kreditanstalt für Wiederaufbau (KfW) - """"ENV/2018/041-508 - Ethiopia, Burkina Faso, Niger, Benin, Indonesia, Philippines, Worldwide"""""""
AD50,"European Union Delegation  - ""41513 - South Asia, East Asia and Pacific, Central Asia, West Africa, Latin America and Caribbean"", "" European Forest Institute (EFI) - """"41513 - South Asia, East Asia and Pacific, Central Asia, West Africa, Latin America and Caribbean"""""", "" Swedish International Development Agency (SIDA) - """"41513 - South Asia, East Asia and Pacific, Central Asia, West Africa, Latin America and Caribbean"""""", ""United Nations Development Programme (UNDP) - """"41513 - South Asia, East Asia and Pacific, Central Asia, West Africa, Latin America and Caribbean"""""""
AD51,"United Nations Development Programme Multi Partner Trust Fund (MPTF) - ""ENV/2018/41438 - Barbados, Brazil, Burkina Faso, China, Ghana, Guyana, Mauritius, Mongolia, Kyrgyzstan, Peru, Senegal, South Africa, Uruguay, Afghanistan, Argentina, Belarus, Benin, Dominican Republic, Ecuador, India, Iraq, Kenya, Kiribati, Macedonia (FYROM), Moldova, Nigeria, Papua New Guinea, Serbia, Gambia, Tanzania, Uganda, Ukraine, Viet Nam"", "" United Nations Environment Programme - """"ENV/2018/41438 - Barbados, Brazil, Burkina Faso, China, Ghana, Guyana, Mauritius, Mongolia, Kyrgyzstan, Peru, Senegal, South Africa, Uruguay, Afghanistan, Argentina, Belarus, Benin, Dominican Republic, Ecuador, India, Iraq, Kenya, Kiribati, Macedonia (FYROM), Moldova, Nigeria, Papua New Guinea, Serbia, Gambia, Tanzania, Uganda, Ukraine, Viet Nam"""""", ""European Union Delegation  - """"ENV/2018/41438 - Barbados, Brazil, Burkina Faso, China, Ghana, Guyana, Mauritius, Mongolia, Kyrgyzstan, Peru, Senegal, South Africa, Uruguay, Afghanistan, Argentina, Belarus, Benin, Dominican Republic, Ecuador, India, Iraq, Kenya, Kiribati, Macedonia (FYROM), Moldova, Nigeria, Papua New Guinea, Serbia, Gambia, Tanzania, Uganda, Ukraine, Viet Nam"""""""
AD52,"United Nations Development Programme (UNDP) - ""MIDEAST/2018/40734, MIDEAST/2019/41456 - Yemen"", ""Food and Agriculture Organisation (FAO) - """"MIDEAST/2018/40734, MIDEAST/2019/41456 - Yemen"""""", ""European Union Delegation  - """"MIDEAST/2018/40734, MIDEAST/2019/41456 - Yemen"""""""
AD53,"European Union Delegation  - ""MIDEAST/2018/41613, MIDEAST/2019/40981 - Yemen"", ""European Union Delegation  - """"MIDEAST/2018/41613, MIDEAST/2019/40981 - Yemen"""""", ""International Organization for Migration (IOM) - """"MIDEAST/2018/41613, MIDEAST/2019/40981 - Yemen"""""", ""United Nations Children's Fund (UNICEF) - """"MIDEAST/2018/41613, MIDEAST/2019/40981 - Yemen"""""", ""European Union Delegation  - """"MIDEAST/2018/41613, MIDEAST/2019/40981 - Yemen"""""", ""European Union Delegation  - """"MIDEAST/2018/41613, MIDEAST/2019/40981 - Yemen"""""""
AD54,"European Union Delegation  - 2019/41441 - Iraq, European Union Delegation  - 2019/41441 - Iraq, """""" United Nations Educational, Scientific and Cultural Organization (UNESCO)"""" - 2019/41441 - Iraq"", Food and Agriculture Organisation (FAO) - 2019/41441 - Iraq, European Union Delegation  - 2019/41441 - Iraq, European Union Delegation  - 2019/41441 - Iraq"
